"did","card_id","d_day","d_status","f_day"
1,"371425197307060864","2020-01-25",1,"2020-01-25"
2,"450381201610141003","2020-01-25",1,"2020-01-25"
3,"51192219360617215X","2020-01-25",1,"2020-01-25"
4,"420602196908070107","2020-01-25",1,"2020-01-25"
5,"220106195710124698","2020-01-25",1,"2020-01-25"
6,"610202194710271346","2020-01-25",1,"2020-01-25"
7,"620121199811234972","2020-01-25",1,"2020-01-25"
8,"320402201106261453","2020-01-25",1,"2020-01-25"
9,"542526199303162760","2020-01-25",1,"2020-01-25"
10,"451423201509250347","2020-01-25",1,"2020-01-25"
11,"621121195702031693","2020-01-25",1,"2020-01-25"
12,"130528199101223275","2020-01-25",1,"2020-01-25"
13,"130523200907121781","2020-01-25",1,"2020-01-25"
14,"231183200112061948","2020-01-25",1,"2020-01-25"
15,"510821200707071454","2020-01-25",1,"2020-01-25"
16,"500109197003123616","2020-01-25",1,"2020-01-25"
17,"370687195210133617","2020-01-25",1,"2020-01-25"
18,"513231201304243335","2020-01-25",1,"2020-01-25"
19,"141030196704273347","2020-01-25",1,"2020-01-25"
20,"360521200109192091","2020-01-25",1,"2020-01-25"
21,"430902196608021854","2020-01-25",1,"2020-01-25"
22,"420322197305312596","2020-01-25",1,"2020-01-25"
23,"430624197905013160","2020-01-25",1,"2020-01-25"
24,"231123193908281445","2020-01-25",1,"2020-01-25"
25,"350503195205010296","2020-01-25",1,"2020-01-25"
26,"370826197606180548","2020-01-25",1,"2020-01-25"
27,"130424200103181800","2020-01-25",1,"2020-01-25"
28,"210922200405021743","2020-01-25",1,"2020-01-25"
29,"32070619880914391X","2020-01-25",1,"2020-01-25"
30,"350526193405261386","2020-01-25",1,"2020-01-25"
31,"430482198309252576","2020-01-25",1,"2020-01-25"
32,"150207196102201651","2020-01-25",1,"2020-01-25"
33,"440114199902201415","2020-01-25",1,"2020-01-25"
34,"370213197810264779","2020-01-25",1,"2020-01-25"
35,"330402193307170392","2020-01-25",1,"2020-01-25"
36,"440106201102230680","2020-01-25",1,"2020-01-25"
37,"152526197804284510","2020-01-25",1,"2020-01-25"
38,"120111194903180728","2020-01-25",1,"2020-01-25"
39,"340322196408030116","2020-01-25",1,"2020-01-25"
40,"350524197209141534","2020-01-25",1,"2020-01-25"
41,"110106193605112332","2020-01-25",1,"2020-01-25"
42,"370305193210101252","2020-01-25",1,"2020-01-25"
43,"654321201308253260","2020-01-25",1,"2020-01-25"
44,"231004200607220719","2020-01-25",1,"2020-01-25"
45,"152531201510170980","2020-01-25",1,"2020-01-25"
46,"440606195703104355","2020-01-25",1,"2020-01-25"
47,"431122193407092401","2020-01-25",1,"2020-01-25"
48,"410603197806021792","2020-01-25",1,"2020-01-25"
49,"220284198205092291","2020-01-25",1,"2020-01-25"
50,"340882193101162173","2020-01-25",1,"2020-01-25"
51,"451424193502162247","2020-01-25",1,"2020-01-25"
52,"341181194110234598","2020-01-25",1,"2020-01-25"
53,"433130196006244422","2020-01-25",1,"2020-01-25"
54,"220402200608133293","2020-01-25",1,"2020-01-25"
55,"230403196801210309","2020-01-25",1,"2020-01-25"
56,"421102196509123754","2020-01-25",1,"2020-01-25"
57,"37021519780903192X","2020-01-25",1,"2020-01-25"
58,"460107195802181623","2020-01-25",1,"2020-01-25"
59,"520381195605171355","2020-01-25",1,"2020-01-25"
60,"520522195203061920","2020-01-25",1,"2020-01-25"
61,"620623197602183452","2020-01-25",1,"2020-01-25"
62,"431121194611184184","2020-01-25",1,"2020-01-25"
63,"532530197304012741","2020-01-25",1,"2020-01-25"
64,"450110199801274427","2020-01-25",1,"2020-01-25"
65,"532924198909024621","2020-01-25",1,"2020-01-25"
66,"341004200607084011","2020-01-25",1,"2020-01-25"
67,"152222196010173839","2020-01-25",1,"2020-01-25"
68,"511703200903213993","2020-01-25",1,"2020-01-25"
69,"330784196203240514","2020-01-25",1,"2020-01-25"
70,"340523196509222800","2020-01-25",1,"2020-01-25"
71,"530303197610264435","2020-01-25",1,"2020-01-25"
72,"611024200402032905","2020-01-25",1,"2020-01-25"
73,"522622197209143704","2020-01-25",1,"2020-01-25"
74,"620621200801194914","2020-01-25",1,"2020-01-25"
75,"430302194201262056","2020-01-25",1,"2020-01-25"
76,"62012220071205189X","2020-01-25",1,"2020-01-25"
77,"621228201403052572","2020-01-25",1,"2020-01-25"
78,"621025194010202231","2020-01-25",1,"2020-01-25"
79,"511921200202253283","2020-01-25",1,"2020-01-25"
80,"610303194102062198","2020-01-25",1,"2020-01-25"
81,"520330196403212360","2020-01-25",1,"2020-01-25"
82,"530181196312113165","2020-01-25",1,"2020-01-25"
83,"469025198909082966","2020-01-25",1,"2020-01-25"
84,"330482196506131105","2020-01-25",1,"2020-01-25"
85,"513338195011244782","2020-01-25",1,"2020-01-25"
86,"230604193806281556","2020-01-25",1,"2020-01-25"
87,"451029196204014530","2020-01-25",1,"2020-01-25"
88,"140213200008262807","2020-01-25",1,"2020-01-25"
89,"430922199912230676","2020-01-25",1,"2020-01-25"
90,"411321197003293361","2020-01-25",1,"2020-01-25"
91,"53342319481212190X","2020-01-25",1,"2020-01-25"
